Year,Sanctuary,Status,Site,Observer,Replicate,Sampling.location,Depth,Time,Complexity,Algal.cover,Sample,Latitude,Longitude,Successful.count,Successful.length,Date,Location
2017,Armstrong Bay,No-take,Parakeet Bay,4,1,Inside lagoon,1,12:00:00,3,2,1336,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,4,2,Inside lagoon,1,12:00:00,0,3,1337,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,4,3,Inside lagoon,1,12:00:00,1,3,1338,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,4,4,Inside lagoon,1,12:00:00,3,2,1339,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,4,5,Inside lagoon,1,12:00:00,3,2,1340,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,4,6,Inside lagoon,1,12:00:00,2,3,1341,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,4,7,Inside lagoon,1,12:00:00,4,1,1342,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,4,8,Inside lagoon,1,12:00:00,3,1,1343,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,4,9,Inside lagoon,1,12:00:00,1,1,1344,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,4,10,Inside lagoon,1,12:00:00,2,3,1345,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,Fished,City of York,1,1,Outer east,1,12:00:00,1,1,1346,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,1,2,Outer east,1,12:00:00,1,1,1347,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,1,3,Outer east,1,12:00:00,1,1,1348,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,1,4,Outer east,1,12:00:00,3,1,1349,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,1,5,Outer east,1,12:00:00,3,1,1350,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,1,6,Outer east,1,12:00:00,2,3,1351,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,1,7,Outer east,1,12:00:00,2,3,1352,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,1,8,Outer east,1,12:00:00,3,3,1353,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,1,9,Outer east,1,12:00:00,2,1,1354,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,1,10,Outer east,1,12:00:00,2,1,1355,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,2,1,inner west,1,12:00:00,1,3,1356,-31.994655,115.495719,Yes,Yes,20170127,
