Year,Sanctuary,Status,Site,Observer,Replicate,Sampling.location,Depth,Gps,Way.point,D,Time,Complexity,Algal.cover,Sample,Latitude,Longitude,Successful.count,Successful.length,Date,Location
2014,Armstrong Bay,No-take,Little Armstrong,none,55,none,1,ncb1,45,12/30/1899,9:20:00,3,3,55,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,56,none,1,ncb1,46,12/30/1899,9:22:00,3,3,56,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,57,none,1,ncb1,47,12/30/1899,9:25:00,2,3,57,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,58,none,1,ncb1,48,12/30/1899,9:31:00,1,3,58,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,59,none,1,black,49,12/30/1899,10:28:00,3,2,59,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,60,none,1,black,50,12/30/1899,10:33:00,2,2,60,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,61,none,1,black,51,12/30/1899,10:36:00,2,2,61,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,62,none,1,black,52,12/30/1899,10:37:00,2,3,62,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,63,none,1,black,53,12/30/1899,10:39:00,2,2,63,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,64,none,1,black,54,12/30/1899,10:42:00,3,0,64,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,65,none,1,black,55,12/30/1899,10:47:00,2,2,65,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,66,none,1,black,56,12/30/1899,10:49:00,1,2,66,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,67,none,1,black,57,12/30/1899,10:53:00,3,2,67,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,68,none,1,black,58,12/30/1899,10:57:00,2,3,68,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,69,none,1,jane1,66,12/30/1899,10:29:00,2,2,69,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,70,none,1,jane1,67,12/30/1899,10:33:00,1,3,70,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,71,none,1,jane1,68,12/30/1899,10:35:00,2,1,71,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,72,none,1,jane1,69,12/30/1899,10:38:00,2,1,72,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,73,none,1,jane1,70,12/30/1899,10:40:00,2,2,73,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,74,none,1,jane1,71,12/30/1899,10:42:00,2,3,74,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,75,none,1,jane1,72,12/30/1899,10:46:00,4,3,75,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,76,none,1,jane1,73,12/30/1899,10:48:00,4,2,76,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,77,none,1,jane1,74,12/30/1899,10:52:00,2,3,77,-31.994655,115.495719,Yes,Yes,20140125,
