Sample,Legal.sublegal,Count,Family,Genus,Species
1164,Legal,2,Palinuridae,Panulirus,cygnus
1169,Legal,4,Palinuridae,Panulirus,cygnus
1169,Sublegal,2,Palinuridae,Panulirus,cygnus
1184,Sublegal,1,Palinuridae,Panulirus,cygnus
1188,Legal,1,Palinuridae,Panulirus,cygnus
1191,Legal,3,Palinuridae,Panulirus,cygnus
1192,Legal,5,Palinuridae,Panulirus,cygnus
1196,Legal,1,Palinuridae,Panulirus,cygnus
1196,Sublegal,2,Palinuridae,Panulirus,cygnus
1198,Sublegal,1,Palinuridae,Panulirus,cygnus
1204,Legal,1,Palinuridae,Panulirus,cygnus
1209,Legal,3,Palinuridae,Panulirus,cygnus
1211,Legal,2,Palinuridae,Panulirus,cygnus
1211,Sublegal,1,Palinuridae,Panulirus,cygnus
1220,Legal,2,Palinuridae,Panulirus,cygnus
1220,Sublegal,2,Palinuridae,Panulirus,cygnus
1222,Legal,2,Palinuridae,Panulirus,cygnus
1225,Legal,1,Palinuridae,Panulirus,cygnus
1225,Sublegal,2,Palinuridae,Panulirus,cygnus
1231,Sublegal,1,Palinuridae,Panulirus,cygnus
1234,Sublegal,3,Palinuridae,Panulirus,cygnus
1238,Sublegal,1,Palinuridae,Panulirus,cygnus
1241,Legal,1,Palinuridae,Panulirus,cygnus
1241,Sublegal,2,Palinuridae,Panulirus,cygnus
1245,Sublegal,1,Palinuridae,Panulirus,cygnus
1246,Legal,1,Palinuridae,Panulirus,cygnus
1246,Sublegal,1,Palinuridae,Panulirus,cygnus
1248,Sublegal,1,Palinuridae,Panulirus,cygnus
1251,Legal,1,Palinuridae,Panulirus,cygnus
1252,Legal,2,Palinuridae,Panulirus,cygnus
1253,Legal,1,Palinuridae,Panulirus,cygnus
1254,Legal,1,Palinuridae,Panulirus,cygnus
1254,Sublegal,2,Palinuridae,Panulirus,cygnus
1255,Legal,1,Palinuridae,Panulirus,cygnus
1255,Sublegal,1,Palinuridae,Panulirus,cygnus
1257,Legal,1,Palinuridae,Panulirus,cygnus
1257,Sublegal,1,Palinuridae,Panulirus,cygnus
1259,Legal,1,Palinuridae,Panulirus,cygnus
1262,Sublegal,1,Palinuridae,Panulirus,cygnus
1263,Sublegal,2,Palinuridae,Panulirus,cygnus
1265,Sublegal,2,Palinuridae,Panulirus,cygnus
816,Sublegal,1,Palinuridae,Panulirus,cygnus
824,Legal,1,Palinuridae,Panulirus,cygnus
824,Sublegal,1,Palinuridae,Panulirus,cygnus
825,Legal,1,Palinuridae,Panulirus,cygnus
825,Sublegal,1,Palinuridae,Panulirus,cygnus
827,Legal,1,Palinuridae,Panulirus,cygnus
827,Sublegal,10,Palinuridae,Panulirus,cygnus
828,Legal,1,Palinuridae,Panulirus,cygnus
828,Sublegal,1,Palinuridae,Panulirus,cygnus
829,Legal,1,Palinuridae,Panulirus,cygnus
829,Sublegal,8,Palinuridae,Panulirus,cygnus
830,Legal,2,Palinuridae,Panulirus,cygnus
830,Sublegal,2,Palinuridae,Panulirus,cygnus
832,Sublegal,1,Palinuridae,Panulirus,cygnus
833,Legal,1,Palinuridae,Panulirus,cygnus
833,Sublegal,2,Palinuridae,Panulirus,cygnus
835,Legal,2,Palinuridae,Panulirus,cygnus
835,Sublegal,5,Palinuridae,Panulirus,cygnus
836,Legal,1,Palinuridae,Panulirus,cygnus
837,Sublegal,3,Palinuridae,Panulirus,cygnus
838,Sublegal,1,Palinuridae,Panulirus,cygnus
840,Legal,1,Palinuridae,Panulirus,cygnus
840,Sublegal,2,Palinuridae,Panulirus,cygnus
841,Legal,1,Palinuridae,Panulirus,cygnus
842,Legal,2,Palinuridae,Panulirus,cygnus
842,Sublegal,3,Palinuridae,Panulirus,cygnus
843,Legal,2,Palinuridae,Panulirus,cygnus
846,Legal,1,Palinuridae,Panulirus,cygnus
852,Legal,3,Palinuridae,Panulirus,cygnus
852,Sublegal,1,Palinuridae,Panulirus,cygnus
857,Sublegal,2,Palinuridae,Panulirus,cygnus
858,Legal,2,Palinuridae,Panulirus,cygnus
860,Sublegal,1,Palinuridae,Panulirus,cygnus
862,Legal,1,Palinuridae,Panulirus,cygnus
862,Sublegal,3,Palinuridae,Panulirus,cygnus
863,Legal,1,Palinuridae,Panulirus,cygnus
864,Legal,3,Palinuridae,Panulirus,cygnus
866,Sublegal,2,Palinuridae,Panulirus,cygnus
867,Sublegal,2,Palinuridae,Panulirus,cygnus
868,Legal,1,Palinuridae,Panulirus,cygnus
868,Sublegal,1,Palinuridae,Panulirus,cygnus
870,Legal,2,Palinuridae,Panulirus,cygnus
870,Sublegal,8,Palinuridae,Panulirus,cygnus
875,Legal,1,Palinuridae,Panulirus,cygnus
875,Sublegal,1,Palinuridae,Panulirus,cygnus
877,Legal,1,Palinuridae,Panulirus,cygnus
877,Sublegal,1,Palinuridae,Panulirus,cygnus
879,Legal,3,Palinuridae,Panulirus,cygnus
892,Sublegal,1,Palinuridae,Panulirus,cygnus
893,Sublegal,1,Palinuridae,Panulirus,cygnus
907,Sublegal,1,Palinuridae,Panulirus,cygnus
914,Legal,1,Palinuridae,Panulirus,cygnus
914,Sublegal,3,Palinuridae,Panulirus,cygnus
915,Legal,1,Palinuridae,Panulirus,cygnus
915,Sublegal,3,Palinuridae,Panulirus,cygnus
917,Legal,3,Palinuridae,Panulirus,cygnus
917,Sublegal,5,Palinuridae,Panulirus,cygnus
919,Sublegal,3,Palinuridae,Panulirus,cygnus
922,Legal,2,Palinuridae,Panulirus,cygnus
922,Sublegal,3,Palinuridae,Panulirus,cygnus
924,Legal,2,Palinuridae,Panulirus,cygnus
924,Sublegal,2,Palinuridae,Panulirus,cygnus
925,Sublegal,4,Palinuridae,Panulirus,cygnus
926,Legal,1,Palinuridae,Panulirus,cygnus
926,Sublegal,1,Palinuridae,Panulirus,cygnus
927,Legal,2,Palinuridae,Panulirus,cygnus
927,Sublegal,3,Palinuridae,Panulirus,cygnus
928,Legal,1,Palinuridae,Panulirus,cygnus
928,Sublegal,5,Palinuridae,Panulirus,cygnus
929,Sublegal,1,Palinuridae,Panulirus,cygnus
938,Sublegal,4,Palinuridae,Panulirus,cygnus
944,Sublegal,1,Palinuridae,Panulirus,cygnus
945,Legal,1,Palinuridae,Panulirus,cygnus
949,Sublegal,4,Palinuridae,Panulirus,cygnus
953,Sublegal,2,Palinuridae,Panulirus,cygnus
963,Sublegal,1,Palinuridae,Panulirus,cygnus
965,Sublegal,1,Palinuridae,Panulirus,cygnus
977,Sublegal,2,Palinuridae,Panulirus,cygnus
982,Legal,1,Palinuridae,Panulirus,cygnus
983,Sublegal,1,Palinuridae,Panulirus,cygnus
994,Sublegal,1,Palinuridae,Panulirus,cygnus
